condition,Angle
SU5402_6h,126.87
SU5402_6h,92.386
SU5402_6h,200.772
SU5402_6h,242.526
SU5402_6h,260.538
SU5402_6h,219.987
SU5402_6h,226.332
SU5402_6h,76.827
SU5402_6h,226.637
SU5402_6h,199.093
SU5402_6h,286.314
SU5402_6h,290.225
SU5402_6h,252.121
SU5402_6h,245.225
SU5402_6h,82.528
SU5402_6h,109.502
SU5402_6h,343.496
SU5402_6h,42.879
SU5402_6h,55.491
SU5402_6h,308.884
SU5402_6h,138.366
SU5402_6h,14.47
SU5402_6h,258.996
SU5402_6h,192.68
SU5402_6h,225.939
SU5402_6h,213.69
SU5402_6h,92.045
SU5402_6h,99.462
SU5402_6h,84.806
SU5402_6h,262.304
SU5402_6h,251.565
SU5402_6h,270
SU5402_6h,300.579
SU5402_6h,291.413
SU5402_6h,268.025
SU5402_6h,292.38
