condition,Length
basal_after_healing,1.14
basal_after_healing,1.48
basal_after_healing,1.596
basal_after_healing,1.15
basal_after_healing,1.527
basal_after_healing,1.625
basal_after_healing,0.789
basal_after_healing,1.518
basal_after_healing,1.974
basal_after_healing,1.746
basal_after_healing,2.541
basal_after_healing,2.987
basal_after_healing,1.646
basal_after_healing,2.735
basal_after_healing,0.815
basal_after_healing,1.788
basal_after_healing,1.455
basal_after_healing,1.118
basal_after_healing,1.189
basal_after_healing,0.755
basal_after_healing,0.776
basal_after_healing,2.388
basal_after_healing,1.339
basal_after_healing,1.407
basal_after_healing,1.097
basal_after_healing,1.266
basal_after_healing,1.319
basal_after_healing,1.252
basal_after_healing,1.873
basal_after_healing,4.034
basal_after_healing,2.962
basal_after_healing,2.024
basal_after_healing,2.9
basal_after_healing,2
basal_after_healing,2.347
basal_after_healing,2.896
basal_after_healing,4.753
basal_after_healing,3.262
basal_after_healing,1.639
basal_after_healing,3.061
basal_after_healing,2.814
basal_after_healing,1.925
basal_after_healing,2.013
basal_after_healing,2.196
basal_after_healing,3.275
basal_after_healing,1.14
basal_after_healing,6.848
basal_after_healing,3.809
basal_after_healing,2.617
basal_after_healing,2.396
basal_after_healing,2.603
basal_after_healing,1.423
basal_after_healing,1.855
basal_after_healing,1.365
basal_after_healing,1.481
basal_after_healing,3.599
basal_after_healing,1.419
basal_after_healing,1.519
basal_after_healing,2.644
basal_after_healing,2.861
basal_after_healing,2.603
basal_after_healing,1.793
basal_after_healing,2.692
basal_after_healing,4.647
basal_after_healing,3.874
basal_after_healing,2.354
basal_after_healing,2.617
basal_after_healing,2.423
basal_after_healing,1.285
basal_after_healing,1.5
basal_after_healing,0.606
basal_after_healing,0.686
basal_after_healing,1.855
basal_after_healing,0.776
basal_after_healing,1.036
basal_after_healing,1.94
basal_after_healing,2.332
basal_after_healing,1.118
basal_after_healing,1.068
basal_after_healing,3.177
basal_after_healing,1.212
basal_after_healing,2.628
basal_after_healing,2.117
basal_after_healing,1.587
basal_after_healing,1.508
basal_after_healing,2.181
basal_after_healing,1.519
basal_after_healing,1.411
basal_after_healing,1.518
basal_after_healing,1.602
basal_after_healing,1.923
basal_after_healing,1.736
basal_after_healing,1.766
basal_after_healing,1.67
basal_after_healing,2.647
basal_after_healing,1.897
basal_after_healing,2.912
basal_after_healing,2.978
basal_after_healing,2.281
basal_after_healing,2.178
basal_after_healing,2.428
basal_after_healing,2.528
basal_after_healing,3.627
basal_after_healing,2.791
basal_after_healing,2.262
basal_after_healing,2.257
basal_after_healing,2.188
basal_after_healing,4.324
basal_after_healing,1.823
basal_after_healing,1.356
basal_after_healing,1.356
basal_after_healing,2.17
basal_after_healing,1.289
basal_after_healing,1.455
basal_after_healing,1.48
basal_after_healing,1.904
basal_after_healing,2.882
basal_after_healing,1.342
basal_after_healing,1.14
basal_after_healing,1.324
basal_after_healing,2.407
basal_after_healing,1.19
basal_after_healing,1.229
basal_after_healing,1.48
basal_after_healing,1.266
basal_after_healing,1.444
basal_after_healing,1.218
basal_after_healing,1.319
basal_after_healing,1.118
basal_after_healing,1.702
basal_after_healing,2.202
basal_after_healing,1.236
basal_after_healing,3.865
basal_after_healing,2.28
basal_after_healing,1.965
basal_after_healing,2.44
basal_after_healing,1.855
basal_after_healing,1.955
basal_after_healing,1.79
basal_after_healing,1.689
basal_after_healing,1.528
basal_after_healing,2.255
basal_after_healing,2.065
basal_after_healing,2.523
basal_after_healing,2.523
basal_after_healing,3.235
basal_after_healing,1.193
basal_after_healing,2.087
basal_after_healing,3.145
basal_after_healing,1.573
basal_after_healing,1.579
basal_after_healing,3.566
basal_after_healing,2.659
basal_after_healing,3.787
basal_after_healing,1.41
basal_after_healing,1.258
basal_after_healing,2.846
basal_after_healing,2.578
basal_after_healing,2.236
basal_after_healing,4.423
basal_after_healing,2.061
basal_after_healing,3.297
basal_after_healing,1.684
basal_after_healing,2.007
basal_after_healing,1.829
basal_after_healing,1.765
basal_after_healing,2.628
basal_after_healing,2.378
basal_after_healing,0.869
basal_after_healing,2.194
basal_after_healing,2.106
basal_after_healing,0.857
basal_after_healing,0.755
basal_after_healing,0.847
basal_after_healing,1.15
basal_after_healing,1.306
basal_after_healing,1.733
basal_after_healing,0.927
basal_after_healing,2.328
basal_after_healing,1.069
basal_after_healing,2.024
basal_after_healing,1.646
basal_after_healing,1.382
basal_after_healing,3.071
basal_after_healing,3.173
basal_after_healing,2.648
basal_after_healing,1.87
basal_after_healing,1.212
basal_after_healing,2.455
