condition,Length
apical_intact,3.371
apical_intact,1.397
apical_intact,1.823
apical_intact,1.101
apical_intact,3.452
apical_intact,1.939
apical_intact,1.508
apical_intact,1.5
apical_intact,2.595
apical_intact,3.271
apical_intact,3.324
apical_intact,2.955
apical_intact,2.971
apical_intact,2.722
apical_intact,4.612
apical_intact,2.129
apical_intact,3.863
apical_intact,3.748
apical_intact,2.423
apical_intact,4.472
apical_intact,4.769
apical_intact,2.351
apical_intact,1.692
apical_intact,3.432
apical_intact,3.63
apical_intact,2.131
apical_intact,3.481
apical_intact,3.287
apical_intact,2.372
apical_intact,2.182
apical_intact,3.094
apical_intact,3.153
apical_intact,1.662
apical_intact,4.499
apical_intact,3.743
apical_intact,1.787
apical_intact,1.335
apical_intact,2.244
apical_intact,1.21
apical_intact,2.439
apical_intact,1.844
apical_intact,1.088
apical_intact,2.379
apical_intact,1.672
apical_intact,2.344
apical_intact,2.797
apical_intact,5.722
apical_intact,5.194
apical_intact,1.606
apical_intact,3.07
apical_intact,2.215
apical_intact,1.873
apical_intact,2.99
apical_intact,3.871
apical_intact,1.812
apical_intact,5.047
apical_intact,2.962
apical_intact,2.546
apical_intact,3.497
apical_intact,3.056
apical_intact,2.378
apical_intact,1.822
apical_intact,2.628
apical_intact,4.292
apical_intact,1.576
apical_intact,0.923
apical_intact,1.779
apical_intact,1.931
apical_intact,2.041
apical_intact,1.311
apical_intact,2.421
apical_intact,2.309
apical_intact,1.492
apical_intact,1.812
apical_intact,1.536
apical_intact,3
apical_intact,1.733
apical_intact,1.784
apical_intact,1.749
apical_intact,2.846
apical_intact,3.999
apical_intact,1.631
apical_intact,2.202
apical_intact,3.275
apical_intact,3.143
apical_intact,1.898
apical_intact,2.07
apical_intact,3.278
apical_intact,1.106
apical_intact,0.997
apical_intact,0.655
apical_intact,1.518
apical_intact,1.113
apical_intact,1.304
apical_intact,1.481
apical_intact,0.686
apical_intact,1.63
apical_intact,1.153
apical_intact,1.419
apical_intact,2.186
apical_intact,3.255
apical_intact,3.85
apical_intact,3.566
apical_intact,3.382
apical_intact,2.71
apical_intact,2.229
apical_intact,2.659
apical_intact,1.106
apical_intact,0.842
apical_intact,0.826
apical_intact,2.578
apical_intact,2.83
apical_intact,1.227
apical_intact,2.382
apical_intact,1.971
apical_intact,0.849
apical_intact,1.955
apical_intact,2.169
apical_intact,2.236
apical_intact,1.342
apical_intact,1.736
