type,area
Neuromast_cell_external,47.95375000000001
Neuromast_cell_external,10.562500000000002
Neuromast_cell_external,30.208750000000002
Neuromast_cell_external,5.809375
Neuromast_cell_external,42.144375000000004
Neuromast_cell_external,33.905625
Neuromast_cell_external,34.961875000000006
Neuromast_cell_external,23.976875000000003
Neuromast_cell_external,21.019375000000004
Neuromast_cell_external,18.801250000000003
Neuromast_cell_external,33.060625
Neuromast_cell_external,12.358125000000001
Neuromast_cell_external,14.787500000000001
Neuromast_cell_external,24.716250000000002
Neuromast_cell_external,0.5281250000000001
Neuromast_cell_external,62.10750000000001
Neuromast_cell_external,17.005625000000002
Neuromast_cell_external,23.976875000000003
Neuromast_cell_external,21.547500000000003
Neuromast_cell_external,35.49
Neuromast_cell_external,11.830000000000002
Neuromast_cell_external,45.946875000000006
Neuromast_cell_external,31.476250000000004
Neuromast_cell_external,2.4293750000000003
Neuromast_cell_external,28.201875
Neuromast_cell_external,18.37875
Neuromast_cell_external,21.547500000000003
Neuromast_cell_external,13.097500000000002
Neuromast_cell_external,17.428125
Neuromast_cell_external,2.9575000000000005
Neuromast_cell_external,30.948125000000005
Neuromast_cell_external,31.265000000000004
Neuromast_cell_external,12.358125000000001
Neuromast_cell_external,25.983750000000004
Neuromast_cell_external,46.68625
Neuromast_cell_external,14.576250000000002
Neuromast_cell_external,6.2318750000000005
Neuromast_cell_external,15.526875000000002
Neuromast_cell_external,19.751875000000002
Neuromast_cell_external,25.455625
Neuromast_cell_external,8.766875
Neuromast_cell_external,14.893125000000001
Neuromast_cell_external,7.288125000000001
Neuromast_cell_external,1.1618750000000002
Neuromast_cell_external,21.758750000000003
Neuromast_cell_external,34.011250000000004
Neuromast_cell_external,15.843750000000002
Neuromast_cell_external,20.596875
Neuromast_cell_external,8.133125000000001
Neuromast_cell_external,37.813750000000006
Neuromast_cell_external,8.344375000000001
Neuromast_cell_external,27.356875000000002
Neuromast_cell_external,23.660000000000004
Neuromast_cell_external,10.14
Neuromast_cell_external,23.131875
Neuromast_cell_external,17.53375
Neuromast_cell_external,12.991875000000002
Neuromast_cell_external,3.6968750000000004
Neuromast_cell_external,12.358125000000001
Neuromast_cell_external,29.469375000000003
Neuromast_cell_external,2.6406250000000004
Neuromast_cell_external,29.469375000000003
Neuromast_cell_external,14.998750000000001
Neuromast_cell_external,15.421250000000002
Superficial_cell_external,53.657500000000006
Superficial_cell_external,66.12125
Superficial_cell_external,47.425625000000004
Superficial_cell_external,51.650625000000005
Superficial_cell_external,62.001875000000005
Superficial_cell_external,69.50125000000001
Superficial_cell_external,155.69125000000003
Superficial_cell_external,66.015625
Superficial_cell_external,39.186875
Superficial_cell_external,45.946875000000006
Superficial_cell_external,54.18562500000001
Superficial_cell_external,11.090625000000001
Superficial_cell_external,70.76875000000001
Superficial_cell_external,48.587500000000006
Superficial_cell_external,64.95937500000001
Superficial_cell_external,53.129375
Superficial_cell_external,27.568125000000002
