Condition,Angle
DMSO,230.906
DMSO,316.302
DMSO,253.74
DMSO,196.39
DMSO,222.184
DMSO,245.323
DMSO,251.565
DMSO,222.955
DMSO,232.125
DMSO,189.246
DMSO,197.281
DMSO,197.176
DMSO,198.034
DMSO,323.746
DMSO,223.995
DMSO,138.691
DMSO,128.66
DMSO,270
DMSO,52.524
DMSO,68.499
DMSO,82.875
DMSO,219.094
DMSO,291.644
DMSO,286.44
DMSO,90
DMSO,293.025
DMSO,240.422
DMSO,262.057
DMSO,215.942
DMSO,231.953
DMSO,228.652
DMSO,228.945
DMSO,231.582
DMSO,213.69
DMSO,219.369
DMSO,235.62
DMSO,234.058
DMSO,241.189
DMSO,135.939
DMSO,136.081
DMSO,146.889
DMSO,137.175
DMSO,154.983
DMSO,210.256
DMSO,238.173
DMSO,192.011
DMSO,195.255
DMSO,243.812
DMSO,202.249
DMSO,184.514
DMSO,192.529
DMSO,39.936
DMSO,200.225
DMSO,209.055
DMSO,208.217
DMSO,173.066
DMSO,105.068
DMSO,174.094
DMSO,186.116
DMSO,179.061
DMSO,185.44
DMSO,191.31
DMSO,173.019
DMSO,169.919
DMSO,211.535
DMSO,207.719
DMSO,228.013
DMSO,178.409
DMSO,147.848
DMSO,149.534
DMSO,144.605
DMSO,131.009
DMSO,191.004
DMSO,169.461
DMSO,161.966
DMSO,239.421
DMSO,233.531
DMSO,238.57
DMSO,129.806
DMSO,130.486
DMSO,250.71
DMSO,258.024
DMSO,153.8
DMSO,164.899
DMSO,265.236
DMSO,274.086
DMSO,250.346
DMSO,150.461
DMSO,146.725
DMSO,165.964
DMSO,141.843
DMSO,90
DMSO,254.055
DMSO,291.194
DMSO,285.642
DMSO,248.962
DMSO,237.724
DMSO,237.265
DMSO,255.141
DMSO,239.036
DMSO,211.608
DMSO,260.538
DMSO,244.29
DMSO,159.775
DMSO,166.608
DMSO,180
DMSO,143.653
DMSO,149.744
DMSO,205.017
DMSO,242.103
DMSO,222.274
DMSO,192.804
DMSO,180
DMSO,176.309
DMSO,152.241
DMSO,120.069
DMSO,130.914
DMSO,108.435
DMSO,341.996
DMSO,356.424
DMSO,50.194
DMSO,299.745
DMSO,317.291
DMSO,295.71
DMSO,273.814
DMSO,284.036
DMSO,187.431
DMSO,192.265
DMSO,177.064
DMSO,130.03
DMSO,181.848
DMSO,204.146
DMSO,181.364
DMSO,207.181
DMSO,232.524
DMSO,232.815
DMSO,229.97
