type,subtype,x,y
cell,DMSO5_cell,40.435,-7.902
cell,DMSO5_cell,39.299,-1.733
cell,DMSO5_cell,39.136,4.111
cell,DMSO5_cell,39.623,8.656
cell,DMSO5_cell,34.916,-12.447
cell,DMSO5_cell,32.643,-1.733
cell,DMSO5_cell,31.994,7.52
cell,DMSO5_cell,28.585,-11.798
cell,DMSO5_cell,28.747,-6.116
cell,DMSO5_cell,28.909,1.027
cell,DMSO5_cell,24.364,-8.551
cell,DMSO5_cell,20.955,-10.174
cell,DMSO5_cell,19.819,-5.304
cell,DMSO5_cell,22.254,3.462
cell,DMSO5_cell,21.117,-0.597
cell,DMSO5_cell,21.929,7.845
cell,DMSO5_cell,17.871,6.059
cell,DMSO5_cell,13.488,8.494
cell,DMSO5_cell,13.812,-1.571
cell,DMSO5_cell,12.027,-4.493
cell,DMSO5_cell,15.436,-6.765
cell,DMSO5_cell,15.76,-10.337
cell,DMSO5_cell,12.027,-10.337
cell,DMSO5_cell,5.696,-11.96
cell,DMSO5_cell,6.02,-5.304
cell,DMSO5_cell,9.429,3.299
cell,DMSO5_cell,5.858,-0.434
cell,DMSO5_cell,3.585,4.598
cell,DMSO5_cell,5.046,9.63
cell,DMSO5_cell,-2.746,8.819
cell,DMSO5_cell,-2.583,3.137
cell,DMSO5_cell,-5.992,-0.597
cell,DMSO5_cell,-4.531,-6.928
cell,DMSO5_cell,0.988,-4.655
cell,DMSO5_cell,0.663,-11.473
cell,DMSO5_cell,-10.051,-8.226
cell,DMSO5_cell,-11.349,-1.733
cell,DMSO5_cell,-14.596,-2.707
cell,DMSO5_cell,-15.083,-7.739
cell,DMSO5_cell,-21.576,-9.525
cell,DMSO5_cell,-21.576,-3.356
cell,DMSO5_cell,-20.278,0.54
cell,DMSO5_cell,-18.167,6.546
cell,DMSO5_cell,-22.875,6.708
cell,DMSO5_cell,-25.635,3.137
cell,DMSO5_cell,-25.959,-4.817
cell,DMSO5_cell,-30.342,-4.98
cell,DMSO5_cell,-30.505,2.488
cell,DMSO5_cell,-9.077,3.949
cell,DMSO5_cell,-14.434,3.786
cell,DMSO5_cell,-6.155,-7.739
cell,DMSO5_cell,-9.888,-10.337
cell,DMSO5_cell,-14.758,-11.311
cell,DMSO5_cell,-34.888,-9.85
cell,DMSO5_cell,-34.725,-5.629
cell,DMSO5_cell,-36.673,-1.084
cell,DMSO5_cell,-33.914,6.059
cell,DMSO5_cell,-39.433,3.299
cell,DMSO5_cell,-39.92,6.708
cell,DMSO5_cell,-42.193,-7.09
cell,DMSO5_cell,-47.225,-4.006
cell,DMSO5_cell,-45.926,-0.434
cell,DMSO5_cell,-48.848,3.624
cell,DMSO5_cell,-49.01,8.007
cell,DMSO5_cell,-58.588,5.572
cell,DMSO5_cell,-63.296,5.41
cell,DMSO5_cell,-69.627,7.52
cell,DMSO5_cell,-71.25,1.838
cell,DMSO5_cell,-66.542,-0.597
cell,DMSO5_cell,-67.192,-5.791
cell,DMSO5_cell,-63.133,-6.928
cell,DMSO5_cell,-69.627,-9.525
cell,DMSO5_cell,-61.672,-9.85
cell,DMSO5_cell,-53.88,-7.415
cell,DMSO5_cell,-49.335,-10.337
cell,DMSO5_cell,-75.146,-7.577
cell,DMSO5_cell,-73.198,-5.467
cell,DMSO5_cell,-74.172,-1.246
cell,DMSO5_cell,-78.717,-2.382
cell,DMSO5_cell,-78.555,3.137
cell,DMSO5_cell,-84.237,2.163
cell,DMSO5_cell,-84.724,-1.571
cell,DMSO5_cell,-88.133,-4.493
cell,DMSO5_cell,-93.814,0.053
cell,DMSO5_cell,-98.197,-2.707
cell,DMSO5_cell,-84.561,4.436
cell,DMSO5_cell,-84.724,-5.791
cell,DMSO5_cell,-54.205,-3.519
cell,DMSO5_cell,-60.698,1.189
cell,DMSO5_cell,-66.055,5.085
cell,DMSO5_cell,-58.75,2.488
cell,DMSO5_cell,-55.991,-3.194
cell,DMSO5_cell,-59.237,-5.142
cell,DMSO5_cell,-25.797,-7.739
cell,DMSO5_cell,-27.583,7.52
cell,DMSO5_cell,-17.518,8.494
cell,DMSO5_cell,-4.207,-6.441
cell,DMSO5_cell,-4.856,5.085
cell,DMSO5_cell,-12.486,5.085
cell,DMSO5_cell,10.079,1.514
cell,DMSO5_cell,21.28,5.897
cell,DMSO5_cell,30.37,-3.032
nm,DMSO6_nm,0,0
nm,DMSO6_nm,-26.028,-0.648
nm,DMSO6_nm,-47.52,-1.08
nm,DMSO6_nm,-72.9,-1.62
sheath,DMSO6_sheath,-56.842506,-5.137668
sheath,DMSO6_sheath,-20.774772,2.78397
sheath,DMSO6_sheath,-12.5739,-1.522908
sheath,DMSO6_sheath,-34.844742,-5.076918
sheath,DMSO6_sheath,-40.665942,2.020302
sheath,DMSO6_sheath,-31.229712,-6.69384
sheath,DMSO6_sheath,-38.764116,-6.726888
sheath,DMSO6_sheath,7.378506,-6.885162
sheath,DMSO6_sheath,0.515808,6.505218
sheath,DMSO6_sheath,-7.082208,-9.462258
cell,DMSO6_cell,37.928,-7.844
cell,DMSO6_cell,35.818,-1.675
cell,DMSO6_cell,31.272,-6.708
cell,DMSO6_cell,28.675,-1.026
cell,DMSO6_cell,28.675,4.169
cell,DMSO6_cell,19.909,5.143
cell,DMSO6_cell,18.123,-2.162
cell,DMSO6_cell,22.669,-5.084
cell,DMSO6_cell,23.967,-10.441
cell,DMSO6_cell,20.071,-11.902
cell,DMSO6_cell,13.416,-7.519
cell,DMSO6_cell,11.143,0.435
cell,DMSO6_cell,11.63,5.792
cell,DMSO6_cell,2.052,6.117
cell,DMSO6_cell,1.89,0.11
cell,DMSO6_cell,8.708,-3.948
cell,DMSO6_cell,10.656,-13.526
cell,DMSO6_cell,5.461,-9.305
cell,DMSO6_cell,2.702,-14.824
cell,DMSO6_cell,-3.792,-12.065
cell,DMSO6_cell,-2.331,-6.058
cell,DMSO6_cell,-2.493,2.221
cell,DMSO6_cell,-3.792,5.954
cell,DMSO6_cell,-8.662,3.195
cell,DMSO6_cell,-7.85,-1.675
cell,DMSO6_cell,-7.85,-6.545
cell,DMSO6_cell,-15.155,-3.786
cell,DMSO6_cell,-17.428,-12.389
cell,DMSO6_cell,-14.181,-7.844
cell,DMSO6_cell,-16.454,5.467
cell,DMSO6_cell,-19.7,9.526
cell,DMSO6_cell,-20.674,3.032
cell,DMSO6_cell,-21.486,-3.461
cell,DMSO6_cell,-25.707,-10.279
cell,DMSO6_cell,-25.869,-3.461
cell,DMSO6_cell,-25.869,3.032
cell,DMSO6_cell,-26.194,8.065
cell,DMSO6_cell,-30.252,3.032
cell,DMSO6_cell,-33.174,-6.221
cell,DMSO6_cell,-36.745,-1.026
cell,DMSO6_cell,-41.615,-1.188
cell,DMSO6_cell,-42.265,-6.545
cell,DMSO6_cell,-46.972,-1.188
cell,DMSO6_cell,-46.323,4.006
cell,DMSO6_cell,-50.706,-1.188
cell,DMSO6_cell,-49.57,-8.169
cell,DMSO6_cell,-58.66,-8.006
cell,DMSO6_cell,-55.251,-3.623
cell,DMSO6_cell,-57.199,1.247
cell,DMSO6_cell,-61.258,-3.299
cell,DMSO6_cell,-65.803,-5.896
cell,DMSO6_cell,-69.049,-8.006
cell,DMSO6_cell,-78.302,-5.571
cell,DMSO6_cell,-81.062,-1.838
cell,DMSO6_cell,-83.01,2.545
cell,DMSO6_cell,-77.166,3.357
cell,DMSO6_cell,-74.082,-1.838
cell,DMSO6_cell,-69.536,1.896
cell,DMSO6_cell,-64.991,3.519
cell,DMSO6_cell,-68.4,5.792
cell,DMSO6_cell,-57.199,5.792
cell,DMSO6_cell,-53.79,2.87
cell,DMSO6_cell,-50.706,5.305
cell,DMSO6_cell,-53.303,8.552
cell,DMSO6_cell,-44.7,7.74
cell,DMSO6_cell,-41.778,10.013
cell,DMSO6_cell,-49.732,-7.682
cell,DMSO6_cell,-42.914,-6.221
cell,DMSO6_cell,-42.752,-10.117
cell,DMSO6_cell,-48.596,-11.253
cell,DMSO6_cell,-58.985,-11.091
cell,DMSO6_cell,-76.517,-10.117
cell,DMSO6_cell,-83.335,-6.87
cell,DMSO6_cell,-88.205,-3.623
cell,DMSO6_cell,-90.477,2.708
cell,DMSO6_cell,-93.724,-9.143
cell,DMSO6_cell,-102.165,-5.571
cell,DMSO6_cell,-99.081,-0.701
cell,DMSO6_cell,-99.893,3.682
cell,DMSO6_cell,-105.412,1.409
cell,DMSO6_cell,-109.795,-4.273
cell,DMSO6_cell,-111.094,-0.052
cell,DMSO6_cell,-116.126,-4.273
cell,DMSO6_cell,-120.184,-1.188
cell,DMSO6_cell,-127.976,-3.623
cell,DMSO6_cell,-132.522,-1.026
cell,DMSO6_cell,-138.69,-5.084
cell,DMSO6_cell,-139.34,-1.351
cell,DMSO6_cell,-130.898,3.357
cell,DMSO6_cell,-118.886,4.006
cell,DMSO6_cell,-113.042,5.305
cell,DMSO6_cell,-93.886,-0.539
cell,DMSO6_cell,-75.218,-5.734
cell,DMSO6_cell,-79.601,5.143
cell,DMSO6_cell,-64.667,6.604
cell,DMSO6_cell,-54.115,5.305
cell,DMSO6_cell,-51.193,-6.87
cell,DMSO6_cell,-57.199,-5.409
cell,DMSO6_cell,-38.369,-6.87
cell,DMSO6_cell,-30.901,-8.656
cell,DMSO6_cell,-39.18,1.734
cell,DMSO6_cell,-34.96,6.766
cell,DMSO6_cell,-19.213,2.383
cell,DMSO6_cell,-11.097,-4.435
cell,DMSO6_cell,-24.083,-11.74
cell,DMSO6_cell,-7.688,-10.604
cell,DMSO6_cell,-10.447,3.519
cell,DMSO6_cell,0.591,4.493
cell,DMSO6_cell,6.435,-9.792
