Time,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30
-20,0.072,-0.383904,0.072,-0.048096,0.192096,0.252,0.624096,0.612,-0.096192,-0.336096,,-1.05625,0.297895,-0.528125,0,-0.284375,0.365625,0.73125,,1.096875,0.2751375,-0.22011,-0.1650825,,,0.3851925,,,0.4952475,
-19,0.864,-0.672192,0,0.336096,-0.288,0.324,0.239904,1.332,0.576,-0.527904,0.203125,0.40625,0,-0.24375,0.325,-0.65,-0.4875,0.24375,,1.096875,0.44022,1.1555775,0.330165,,,0.6053025,0.6053025,0.3851925,0.110055,-0.0550275
-18,0.072,0.576,0.288,0.432,1.008,0.324,0.480096,-0.828,0.096192,0.048096,-0.4875,-0.08125,-0.08125,-0.1625,-0.4333225,0.609375,-0.853125,1.015625,,0.89375,-0.22011,-0.0550275,-0.110055,,,0.22011,0.7153575,0.0550275,0.3851925,0.7153575
-17,-0.36,0,-0.072,0.480096,0.623808,0.396,0.239904,0.504,0.239904,0.767808,0.325,-0.89375,-0.1625,0,-1.733355,0.8125,-1.05625,0.284375,-0.4875,0.365625,-0.6053025,-0.88044,-0.110055,,,0.0550275,0.3851925,-0.88044,-0.6053025,0.1650825
-16,-0.216,-0.191808,0.216,0.72,0.576,-0.792,0.192096,0.684,-0.624096,0.864,-0.73125,-0.121875,-0.297895,-0.528125,-0.325,0.8125,-1.05625,1.421875,-1.096875,0.89375,-0.550275,-0.0550275,0.22011,,,0.44022,0.44022,0.8254125,-0.110055,0.110055
-15,0.936,0.288,0.216,0.479808,0.816192,0.36,0.095904,0.684,0.288,0.432,-0.446875,-0.284375,0,-0.08125,0.108355,-0.1625,-0.56875,0,-1.259375,-1.015625,0.1650825,-0.2751375,-0.110055,,,0.44022,0.3851925,0.0550275,-0.22011,-0.3851925
-14,0.216,0.479808,-0.936,0.240192,0.864,-0.18,0.480096,0.9,0.240192,0.72,-0.325,-0.1625,0,0.24375,0.325,0.446875,-0.203125,-0.08125,-0.4875,0.365625,-0.1650825,-0.110055,0.1650825,,0.8254125,0,0.330165,-0.2751375,0.22011,0.770385
-13,0.36,0.384192,0.432,0,0.432,0.072,0.671904,1.332,0,0.912096,-0.65,0,-0.027105,-0.853125,0.054145,0.325,-0.24375,0.203125,-1.015625,-0.325,-0.1650825,-0.330165,-0.110055,,0.550275,0.4952475,0.770385,-0.44022,0.44022,-0.7153575
-12,-0.216,0.479808,0.144,0.767808,0.288,0.396,0.288,0.792,-0.096192,-0.864,0.1625,-0.121875,-0.297895,-0.325,-0.7583225,-0.853125,-0.325,0.4875,-1.421875,0.446875,-0.1650825,-0.110055,0,0.330165,0.3851925,0.22011,0.8254125,-0.990495,-0.44022,0.4952475
-11,0.144,-0.479808,0.792,-0.288,0.479808,0.576,0.624096,-1.08,1.008,0.336096,-0.1625,0.08125,-0.433355,-0.284375,0.4333225,0,-0.121875,-0.73125,0.284375,0.1625,0.1650825,-0.110055,-0.22011,0.330165,0.330165,0.1650825,1.1555775,-0.8254125,0,0.110055
-10,0.432,-0.288,0.144,0.240192,1.536192,0.252,0.815904,0.684,-0.095904,0.527904,0.203125,-0.690625,-0.297895,0.40625,-0.054145,1.259375,0.446875,0.609375,-0.56875,0.08125,0.2751375,0.4952475,-0.110055,0.29340663,0.7153575,0.6053025,1.430715,-0.88044,-0.4952475,0.4952475
-9,0.36,0,0.648,0.335808,1.152,0.036,0.912096,0.936,0.048096,0.768096,0.24375,0,-0.0541775,0.73125,-0.4875,0,1.340625,0.4875,-0.365625,1.503125,0.2751375,-0.22011,-0.330165,-0.330165,1.0455225,0.2751375,0.550275,-0.44022,-0.1650825,0.110055
-8,0.576,0.288,0.072,0.576,0.047808,-1.152,0.336096,0.396,0.095904,0.095904,0.121875,-1.259375,0.0270725,0.56875,0.65,0.73125,0.325,0.121875,0,0.690625,0.66033,0.550275,-0.0550275,0.47697837,-0.1650825,0.4952475,0.9354675,-0.110055,0.44022,-0.1650825
-7,0.144,0.671904,0.144,0.288,0.912096,1.152,-0.096192,0.9,1.296,0.72,0.446875,-1.259375,0.2166775,1.05625,0.1625,0.40625,0.284375,1.05625,-0.4875,-0.690625,0.550275,-0.8254125,0.110055,-0.88044,0.6053025,0,0.22011,-0.110055,0.44022,0
