condition,Angle
intact_image2_4-6-19_,315
intact_image2_4-6-19_,213.311
intact_image2_4-6-19_,312.979
intact_image2_4-6-19_,248.962
intact_image2_4-6-19_,176.82
intact_image2_4-6-19_,221.424
intact_image4_4-6-19_,169.046
intact_image4_4-6-19_,151.699
intact_image4_4-6-19_,174.508
intact_image4_4-6-19_,138.18
intact_image4_4-6-19_,258.366
intact_image4_4-6-19_,236.31
intact_image4_4-6-19_,244.398
intact_image4_4-6-19_,253.413
intact_image4_4-6-19_,178.315
intact_image4_4-6-19_,312.647
intact_image4_4-6-19_,331.699
intact_image4_4-6-19_,293.962
intact_image4_4-6-19_,287.879
intact_image4_4-6-19_,318.18
intact_image4_4-6-19_,270
intact_image4_4-6-19_,222.274
intact_image4_4-6-19_,162.35
intact_image4_4-6-19_,315
intact_image4_4-6-19_,264.289
intact_image4_4-6-19_,267.455
intact_image4_4-6-19_,270
intact_image4_4-6-19_,246.038
intact_image4_4-6-19_,218.66
intact_image4_4-6-19_,354.428
intact_image4_4-6-19_,278.13
intact_image4_4-6-19_,237.995
intact_image4_4-6-19_,311.634
intact_image4_4-6-19_,287.103
intact_image4_4-6-19_,109.179
intact_image4_4-6-19_,293.703
intact_image4_4-6-19_,214.548
intact_image4_4-6-19_,212.276
intact_image4_4-6-19_,236.689
intact_image4_4-6-19_,272.203
intact_image4_4-6-19_,338.629
intact_image4_4-6-19_,222.769
intact_image4_4-6-19_,217.875
intact_image4_4-6-19_,178.493
intact_image4_4-6-19_,142.224
intact_image4_4-6-19_,142.595
intact_image4_4-6-19_,279.462
intact_image4_4-6-19_,281.768
intact_image4_4-6-19_,274.97
intact_image4_4-6-19_,225
intact_image4_4-6-19_,227.603
intact_image4_4-6-19_,112.751
intact_image4_4-6-19_,123.111
intact_image4_4-6-19_,176.634
intact_image4_4-6-19_,216.529
intact_image4_4-6-19_,222.397
intact_image4_4-6-19_,225
intact_image4_4-6-19_,225
intact_image4_4-6-19_,134.061
intact_image4_4-6-19_,287.819
intact_image4_4-6-19_,173.48
intact_image4_4-6-19_,193.173
intact_image4_4-6-19_,197.447
intact_image4_4-6-19_,178.698
intact_image4_4-6-19_,178.807
intact_image4_4-6-19_,180
intact_image4_4-6-19_,190.408
