condition,length
basal_intact,1.853
basal_intact,1.512
basal_intact,2.166
basal_intact,3.309
basal_intact,3.586
basal_intact,2.193
basal_intact,1.916
basal_intact,1.654
basal_intact,2.174
basal_intact,1.754
basal_intact,2.547
basal_intact,1.808
basal_intact,1.888
basal_intact,2.944
basal_intact,1.473
basal_intact,1.566
basal_intact,1.093
basal_intact,0.95
basal_intact,2.962
basal_intact,2.649
basal_intact,3.106
basal_intact,3.67
basal_intact,2.042
basal_intact,0.989
basal_intact,1.113
basal_intact,1.236
basal_intact,1.311
basal_intact,0.761
basal_intact,1.806
basal_intact,1.032
basal_intact,1.198
basal_intact,2.14
basal_intact,0.534
basal_intact,1.639
basal_intact,1.904
basal_intact,3.423
basal_intact,1.382
basal_intact,2.82
basal_intact,3.814
basal_intact,1.87
basal_intact,6.06
basal_intact,2.876
basal_intact,2.106
basal_intact,1.899
basal_intact,1.46
basal_intact,2.727
basal_intact,1.28
basal_intact,1.882
basal_intact,2.121
basal_intact,0.753
basal_intact,2.963
basal_intact,1.866
basal_intact,3.647
basal_intact,1.907
basal_intact,3.036
basal_intact,1.519
basal_intact,1.873
basal_intact,2.332
basal_intact,0.813
basal_intact,3.308
basal_intact,1.674
basal_intact,2.812
basal_intact,1.736
basal_intact,0.883
basal_intact,2.007
basal_intact,0.898
basal_intact,0.584
basal_intact,1.653
basal_intact,1.319
basal_intact,4.346
basal_intact,1.218
basal_intact,1.311
basal_intact,0.566
basal_intact,2.041
basal_intact,1.198
basal_intact,0.976
basal_intact,1.543
basal_intact,0.982
basal_intact,1.218
basal_intact,1.917
basal_intact,1.504
basal_intact,1.293
basal_intact,1.695
basal_intact,1.606
basal_intact,2.223
basal_intact,2.339
basal_intact,0.599
basal_intact,0.705
basal_intact,0.5
basal_intact,2.623
basal_intact,1.519
basal_intact,0.947
basal_intact,1.433
basal_intact,0.771
basal_intact,1
basal_intact,1.553
basal_intact,0.847
basal_intact,1.596
basal_intact,1.971
basal_intact,0.694
basal_intact,1.964
basal_intact,1.764
basal_intact,2.795
basal_intact,2.264
basal_intact,2.447
basal_intact,2.182
basal_intact,2.729
basal_intact,1.627
basal_intact,2.554
basal_intact,3.614
basal_intact,2.061
basal_intact,2.117
basal_intact,2.186
basal_intact,0.976
basal_intact,0.485
basal_intact,0.653
basal_intact,2.65
basal_intact,3.084
basal_intact,2.713
basal_intact,0.857
basal_intact,3.041
basal_intact,3.235
basal_intact,2.26
basal_intact,1.419
basal_intact,2.17
basal_intact,0.761
basal_intact,0.5
basal_intact,0.815
basal_intact,0.828
basal_intact,2.013
basal_intact,3.785
basal_intact,2.45
basal_intact,1.14
basal_intact,1.086
basal_intact,3.006
basal_intact,2.223
basal_intact,2.635
basal_intact,1.689
basal_intact,1.118
basal_intact,3.014
basal_intact,0.707
basal_intact,1.989
basal_intact,3.138
basal_intact,3.041
basal_intact,1.974
basal_intact,2.894
basal_intact,1.32
basal_intact,1.036
basal_intact,1.289
basal_intact,3.837
basal_intact,5.706
basal_intact,2.723
basal_intact,0.723
basal_intact,1.41
basal_intact,1.128
basal_intact,0.889
basal_intact,2.247
basal_intact,1.746
basal_intact,1.882
basal_intact,1.293
basal_intact,1.411
basal_intact,1.41
basal_intact,0.959
basal_intact,1.944
basal_intact,3.403
basal_intact,1.595
basal_intact,2.229
basal_intact,0.922
basal_intact,3.777
basal_intact,3.329
basal_intact,2.332
basal_intact,0.761
basal_intact,1.113
basal_intact,5.817
basal_intact,5.211
basal_intact,3.575
basal_intact,3.62
basal_intact,3.211
basal_intact,0.813
basal_intact,2.948
basal_intact,1.097
basal_intact,1.319
basal_intact,1.907
basal_intact,0.713
basal_intact,1.324
basal_intact,1.459
basal_intact,1.892
