Condition,Angle
100% Matrigel,98.427
100% Matrigel,227.603
100% Matrigel,172.648
100% Matrigel,143.973
100% Matrigel,290.772
100% Matrigel,291.371
100% Matrigel,76.608
100% Matrigel,53.973
100% Matrigel,180
100% Matrigel,8.427
100% Matrigel,19.44
100% Matrigel,37.405
100% Matrigel,275.906
100% Matrigel,317.49
100% Matrigel,170.91
100% Matrigel,205.71
100% Matrigel,244.799
100% Matrigel,286.928
100% Matrigel,207.646
100% Matrigel,181.79
100% Matrigel,104.621
100% Matrigel,275.356
100% Matrigel,245.898
100% Matrigel,116.565
100% Matrigel,120.579
100% Matrigel,298.443
100% Matrigel,304.509
100% Matrigel,33.69
100% Matrigel,11.31
100% Matrigel,356.987
100% Matrigel,40.601
100% Matrigel,324.246
100% Matrigel,289.654
100% Matrigel,100.008
100% Matrigel,283.449
100% Matrigel,301.759
100% Matrigel,62.475
100% Matrigel,149.349
100% Matrigel,123.69
100% Matrigel,117.408
100% Matrigel,273.066
100% Matrigel,310.236
100% Matrigel,159.829
100% Matrigel,140.906
100% Matrigel,343.301
100% Matrigel,283.57
100% Matrigel,270
100% Matrigel,205.942
100% Matrigel,149.036
100% Matrigel,64.44
100% Matrigel,333.435
100% Matrigel,332.103
100% Matrigel,346.675
100% Matrigel,360
100% Matrigel,153.435
100% Matrigel,164.358
100% Matrigel,154.654
100% Matrigel,162.646
100% Matrigel,203.199
100% Matrigel,157.834
100% Matrigel,190.491
100% Matrigel,241.189
100% Matrigel,252.646
100% Matrigel,239.036
100% Matrigel,199.799
100% Matrigel,360
100% Matrigel,137.121
100% Matrigel,143.13
100% Matrigel,135
100% Matrigel,127.875
100% Matrigel,29.539
100% Matrigel,7.306
100% Matrigel,352.648
100% Matrigel,84.289
100% Matrigel,328.627
100% Matrigel,4.764
100% Matrigel,304.992
100% Matrigel,322.595
100% Matrigel,95.356
100% Matrigel,346.908
100% Matrigel,205.017
100% Matrigel,182.603
100% Matrigel,194.931
100% Matrigel,360
100% Matrigel,63.435
100% Matrigel,107.241
100% Matrigel,199.231
100% Matrigel,154.179
100% Matrigel,181.397
100% Matrigel,298.496
100% Matrigel,338.629
100% Matrigel,11.31
