condition,length
basal_skinned_length,2.659
basal_skinned_length,1.935
basal_skinned_length,1.659
basal_skinned_length,1.359
basal_skinned_length,1.032
basal_skinned_length,0.927
basal_skinned_length,1.625
basal_skinned_length,0.776
basal_skinned_length,1.248
basal_skinned_length,1.139
basal_skinned_length,1.436
basal_skinned_length,1.113
basal_skinned_length,1.543
basal_skinned_length,1.886
basal_skinned_length,2.288
basal_skinned_length,0.679
basal_skinned_length,0.995
basal_skinned_length,2.234
basal_skinned_length,1.797
basal_skinned_length,1.618
basal_skinned_length,0.883
basal_skinned_length,0.705
basal_skinned_length,2.497
basal_skinned_length,2.321
basal_skinned_length,5.439
basal_skinned_length,1.455
basal_skinned_length,1.856
basal_skinned_length,1.153
basal_skinned_length,0.961
basal_skinned_length,0.759
basal_skinned_length,1.204
basal_skinned_length,0.759
basal_skinned_length,0.961
basal_skinned_length,1.618
basal_skinned_length,1.414
basal_skinned_length,0.437
basal_skinned_length,1.265
basal_skinned_length,0.936
basal_skinned_length,1.084
basal_skinned_length,0.542
basal_skinned_length,1.372
basal_skinned_length,1.894
basal_skinned_length,1.313
basal_skinned_length,0.829
basal_skinned_length,1.03
basal_skinned_length,2.635
basal_skinned_length,1.39
basal_skinned_length,1.572
basal_skinned_length,1.746
basal_skinned_length,1.311
basal_skinned_length,1.236
basal_skinned_length,1.053
basal_skinned_length,0.789
basal_skinned_length,1.48
basal_skinned_length,1.612
basal_skinned_length,4.143
basal_skinned_length,2.24
basal_skinned_length,0.909
basal_skinned_length,1.41
basal_skinned_length,1.916
basal_skinned_length,1.726
basal_skinned_length,0.813
basal_skinned_length,1.357
basal_skinned_length,1.2
basal_skinned_length,1.407
basal_skinned_length,1.527
basal_skinned_length,1.394
basal_skinned_length,0.694
basal_skinned_length,2.436
basal_skinned_length,1.426
basal_skinned_length,1.394
basal_skinned_length,1.189
basal_skinned_length,2.332
basal_skinned_length,2.312
basal_skinned_length,1.682
basal_skinned_length,1.218
basal_skinned_length,1.236
basal_skinned_length,1.341
basal_skinned_length,1.08
basal_skinned_length,0.883
basal_skinned_length,2.608
basal_skinned_length,2.109
basal_skinned_length,2.083
basal_skinned_length,0.727
basal_skinned_length,1.218
basal_skinned_length,0.586
basal_skinned_length,1.646
basal_skinned_length,0.576
basal_skinned_length,0.977
basal_skinned_length,0.635
basal_skinned_length,1.339
basal_skinned_length,1.923
basal_skinned_length,1.248
basal_skinned_length,1.66
basal_skinned_length,3.545
basal_skinned_length,1.382
basal_skinned_length,0.66
basal_skinned_length,0.782
basal_skinned_length,2.712
basal_skinned_length,1.198
basal_skinned_length,1.464
basal_skinned_length,1.788
basal_skinned_length,0.755
basal_skinned_length,0.806
basal_skinned_length,0.584
basal_skinned_length,1.204
basal_skinned_length,0.977
basal_skinned_length,2.452
basal_skinned_length,2.281
basal_skinned_length,1.032
basal_skinned_length,2.106
basal_skinned_length,2.058
basal_skinned_length,1.41
basal_skinned_length,0.928
basal_skinned_length,1.043
basal_skinned_length,2.483
basal_skinned_length,1.17
basal_skinned_length,1.019
basal_skinned_length,0.801
basal_skinned_length,0.789
basal_skinned_length,0.767
basal_skinned_length,0.566
basal_skinned_length,0.69
basal_skinned_length,1.132
basal_skinned_length,0.923
basal_skinned_length,1.14
basal_skinned_length,1.306
basal_skinned_length,0.894
basal_skinned_length,1.19
basal_skinned_length,1.414
basal_skinned_length,2.061
basal_skinned_length,0.947
basal_skinned_length,1.541
basal_skinned_length,2.017
basal_skinned_length,0.635
basal_skinned_length,0.618
basal_skinned_length,1.365
basal_skinned_length,1.631
basal_skinned_length,1.73
basal_skinned_length,1.922
basal_skinned_length,1.389
basal_skinned_length,1.683
basal_skinned_length,1.736
basal_skinned_length,2.159
basal_skinned_length,2.528
basal_skinned_length,1.653
basal_skinned_length,2.065
basal_skinned_length,2.134
basal_skinned_length,0.653
basal_skinned_length,0.737
basal_skinned_length,0.651
basal_skinned_length,0.635
basal_skinned_length,0.242
basal_skinned_length,1.653
basal_skinned_length,1.542
basal_skinned_length,1.496
basal_skinned_length,1.356
basal_skinned_length,1.357
basal_skinned_length,1.118
basal_skinned_length,0.902
basal_skinned_length,0.894
basal_skinned_length,0.5
basal_skinned_length,0.868
basal_skinned_length,1.261
basal_skinned_length,0.707
basal_skinned_length,1.698
basal_skinned_length,1.802
basal_skinned_length,0.813
basal_skinned_length,0.653
basal_skinned_length,0.391
basal_skinned_length,1.009
basal_skinned_length,1.382
basal_skinned_length,0.737
basal_skinned_length,0.66
basal_skinned_length,1.39
basal_skinned_length,0.753
basal_skinned_length,1.17
basal_skinned_length,1.204
basal_skinned_length,2.408
basal_skinned_length,1.48
basal_skinned_length,0.857
basal_skinned_length,2.644
basal_skinned_length,2.861
basal_skinned_length,3.162
basal_skinned_length,0.553
basal_skinned_length,1.168
basal_skinned_length,1.612
basal_skinned_length,0.653
basal_skinned_length,1.036
basal_skinned_length,0.868
basal_skinned_length,0.767
