condition,Angle
skinned_basal,333.435
skinned_basal,196.39
skinned_basal,176.424
skinned_basal,227.49
skinned_basal,188.746
skinned_basal,126.87
skinned_basal,221.468
skinned_basal,308.66
skinned_basal,135
skinned_basal,106.39
skinned_basal,221.634
skinned_basal,261.634
skinned_basal,326.31
skinned_basal,299.745
skinned_basal,309.806
skinned_basal,270
skinned_basal,354.806
skinned_basal,63.435
skinned_basal,296.565
skinned_basal,7.125
skinned_basal,112.249
skinned_basal,45
skinned_basal,282.529
skinned_basal,250.017
skinned_basal,270
skinned_basal,279.462
skinned_basal,282.995
skinned_basal,45
skinned_basal,30.256
skinned_basal,230.194
skinned_basal,222.274
skinned_basal,271.469
skinned_basal,262.235
skinned_basal,280.305
skinned_basal,272.49
skinned_basal,277.431
skinned_basal,273.18
skinned_basal,253.61
skinned_basal,248.199
skinned_basal,293.962
skinned_basal,270
skinned_basal,257.905
skinned_basal,90
skinned_basal,94.97
skinned_basal,68.199
skinned_basal,64.654
skinned_basal,93.468
skinned_basal,67.834
skinned_basal,76.504
skinned_basal,68.962
skinned_basal,108.435
skinned_basal,31.759
skinned_basal,57.995
skinned_basal,123.69
skinned_basal,10.204
skinned_basal,16.189
skinned_basal,90
skinned_basal,130.601
skinned_basal,227.603
skinned_basal,131.186
skinned_basal,146.31
skinned_basal,281.768
skinned_basal,273.27
skinned_basal,305.218
skinned_basal,160.017
skinned_basal,198.435
skinned_basal,262.875
skinned_basal,275.44
skinned_basal,93.366
skinned_basal,288.435
skinned_basal,2.045
skinned_basal,180
skinned_basal,340.346
skinned_basal,84.806
skinned_basal,81.87
skinned_basal,143.13
skinned_basal,90
skinned_basal,90
skinned_basal,180
skinned_basal,144.462
skinned_basal,81.87
skinned_basal,90
skinned_basal,108.853
skinned_basal,141.546
skinned_basal,161.996
skinned_basal,152.526
skinned_basal,196.587
skinned_basal,109.026
skinned_basal,109.026
skinned_basal,90
skinned_basal,48.652
skinned_basal,33.69
skinned_basal,58.392
skinned_basal,214.992
skinned_basal,4.236
skinned_basal,18.435
skinned_basal,323.13
skinned_basal,360
skinned_basal,4.086
skinned_basal,48.27
skinned_basal,81.469
skinned_basal,102.995
skinned_basal,114.567
skinned_basal,194.036
skinned_basal,119.932
skinned_basal,143.973
skinned_basal,180
skinned_basal,200.323
skinned_basal,180
skinned_basal,135
skinned_basal,127.304
skinned_basal,99.462
skinned_basal,93.366
skinned_basal,81.87
skinned_basal,39.523
skinned_basal,22.036
skinned_basal,67.38
skinned_basal,7.595
skinned_basal,360
skinned_basal,290.376
skinned_basal,271.591
skinned_basal,261.87
skinned_basal,288.435
skinned_basal,214.287
skinned_basal,187.125
skinned_basal,180
skinned_basal,191.31
skinned_basal,143.13
skinned_basal,84.289
skinned_basal,77.005
skinned_basal,93.366
skinned_basal,81.87
skinned_basal,122.005
skinned_basal,186.34
skinned_basal,161.565
skinned_basal,144.162
skinned_basal,92.726
skinned_basal,109.026
skinned_basal,122.276
skinned_basal,128.333
skinned_basal,124.509
skinned_basal,155.225
skinned_basal,186.116
skinned_basal,77.471
skinned_basal,84.611
skinned_basal,228.094
skinned_basal,263.66
skinned_basal,277.431
skinned_basal,202.166
skinned_basal,168.69
skinned_basal,210.964
skinned_basal,104.036
skinned_basal,122.471
skinned_basal,153.435
skinned_basal,58.392
skinned_basal,80.538
skinned_basal,293.199
skinned_basal,342.646
skinned_basal,276.34
skinned_basal,29.745
skinned_basal,340.71
skinned_basal,166.675
skinned_basal,194.534
skinned_basal,163.61
skinned_basal,157.068
skinned_basal,107.241
skinned_basal,201.038
skinned_basal,187.595
skinned_basal,174.289
skinned_basal,149.744
skinned_basal,127.999
skinned_basal,198.435
skinned_basal,225
skinned_basal,215.538
skinned_basal,127.875
skinned_basal,87.614
skinned_basal,95.856
skinned_basal,107.241
skinned_basal,79.509
skinned_basal,309.806
skinned_basal,239.036
skinned_basal,258.69
skinned_basal,270
skinned_basal,149.931
skinned_basal,160.821
skinned_basal,90
skinned_basal,79.611
skinned_basal,92.337
skinned_basal,101.31
skinned_basal,11.31
skinned_basal,331.39
skinned_basal,3.013
skinned_basal,20.556
skinned_basal,64.29
skinned_basal,24.775
skinned_basal,177.51
skinned_basal,180
skinned_basal,169.114
skinned_basal,136.975
skinned_basal,198.435
skinned_basal,71.565
skinned_basal,58.57
skinned_basal,118.61
skinned_basal,209.358
skinned_basal,185.572
skinned_basal,185.194
skinned_basal,129.56
skinned_basal,312.51
skinned_basal,22.62
skinned_basal,34.38
skinned_basal,52.595
skinned_basal,246.501
skinned_basal,243.435
skinned_basal,263.29
skinned_basal,311.186
skinned_basal,286.39
skinned_basal,270
skinned_basal,97.765
skinned_basal,90
skinned_basal,196.39
skinned_basal,166.43
skinned_basal,147.529
skinned_basal,209.745
skinned_basal,239.036
skinned_basal,259.992
skinned_basal,270
skinned_basal,270
skinned_basal,341.565
skinned_basal,346.759
skinned_basal,308.29
skinned_basal,258.69
skinned_basal,270
skinned_basal,323.366
skinned_basal,339.444
skinned_basal,270
skinned_basal,295.769
skinned_basal,299.745
skinned_basal,285.255
skinned_basal,258.111
skinned_basal,254.055
skinned_basal,261.573
skinned_basal,42.274
skinned_basal,232.98
skinned_basal,276.953
skinned_basal,342.646
skinned_basal,292.62
skinned_basal,295.115
skinned_basal,313.727
skinned_basal,270
skinned_basal,2.291
skinned_basal,341.565
skinned_basal,332.447
skinned_basal,6.116
skinned_basal,256.504
skinned_basal,321.34
skinned_basal,106.821
skinned_basal,98.746
skinned_basal,76.504
skinned_basal,46.848
skinned_basal,270
skinned_basal,320.711
skinned_basal,358.152
skinned_basal,110.854
skinned_basal,322.125
skinned_basal,284.036
skinned_basal,252.474
skinned_basal,312.51
skinned_basal,226.685
skinned_basal,223.958
skinned_basal,128.66
skinned_basal,153.435
skinned_basal,110.854
skinned_basal,33.69
skinned_basal,17.241
skinned_basal,311.186
skinned_basal,3.18
skinned_basal,19.983
skinned_basal,201.371
skinned_basal,158.499
skinned_basal,182.49
skinned_basal,51.633
skinned_basal,173.853
skinned_basal,25.56
skinned_basal,80.538
skinned_basal,146.31
skinned_basal,181.146
skinned_basal,5.194
skinned_basal,270
skinned_basal,284.036
skinned_basal,291.038
skinned_basal,250.346
skinned_basal,248.199
skinned_basal,172.235
skinned_basal,289.44
skinned_basal,251.966
skinned_basal,251.996
skinned_basal,176.987
skinned_basal,235.491
skinned_basal,251.565
skinned_basal,337.38
skinned_basal,173.29
skinned_basal,242.103
