cell,timepoint,z,x,neuromast_z,neuromast_x
2,0,12.865487744694851,47.946775785491035,25.35,47.775
2,1,12.830159574468086,48.08627659574468,25.426470588235293,47.79138655462185
2,2,12.835077338799852,47.884504286246745,25.50294117647059,47.807773109243705
2,3,13.00179430097952,48.11377560106857,25.57941176470588,47.824159663865544
2,4,13.18967517401392,48.53607888631091,25.655882352941177,47.8405462184874
2,5,13.12440758293839,48.856575829383885,25.73235294117647,47.85693277310925
2,6,12.847498271690288,48.42376425855514,25.808823529411764,47.873319327731096
2,7,12.313614255394413,47.74643172974885,25.885294117647057,47.88970588235294
2,8,12.415543478260869,47.80527173913044,25.961764705882352,47.90609243697479
2,9,13.128399896711999,48.876945257359274,26.03823529411765,47.92247899159664
2,10,14.037476793248945,49.59137974683545,26.114705882352943,47.938865546218494
2,11,14.962527798369162,49.635570793180136,26.19117647058824,47.95525210084033
2,12,14.917038652300326,49.98129810159056,26.26764705882353,47.971638655462186
2,13,14.811683353130835,49.65109876124216,26.344117647058827,47.98802521008404
2,14,14.928061772605194,49.17526410026858,26.42058823529412,48.004411764705885
2,15,15.023852790014685,48.866863986784146,26.497058823529414,48.02079831932773
2,16,15.003893373696604,48.28015472586613,26.573529411764707,48.03718487394958
2,17,15.298830594184578,47.52991466498104,26.650000000000002,48.05357142857143
2,18,15.461228337612324,47.264501765083445,26.726470588235294,48.069957983193284
2,19,15.513222886271754,48.05755405167868,26.80294117647059,48.08634453781512
2,20,15.463904212637914,48.064740053493814,26.879411764705882,48.102731092436976
2,21,15.474048803981379,47.905020870123614,26.955882352941178,48.11911764705883
2,22,16.158922988316604,48.220009873292746,27.03235294117647,48.135504201680675
2,23,16.97316378993757,49.51177469702534,27.108823529411765,48.15189075630252
2,24,16.92011675315048,49.565089881393625,27.185294117647057,48.16827731092437
2,25,16.74471420643729,48.85905475397706,27.261764705882353,48.18466386554622
2,26,16.460836973788723,49.24892275615568,27.33823529411765,48.20105042016807
2,27,16.5411004784689,48.830301435406696,27.414705882352944,48.21743697478991
2,28,16.040754961173427,48.20386540120794,27.491176470588236,48.233823529411765
2,29,15.94181427569274,48.35215713784637,27.567647058823532,48.25021008403362
2,30,15.920809611520431,48.11512893503014,27.644117647058824,48.266596638655464
2,31,16.072826635278293,48.2718177232218,27.72058823529412,48.28298319327731
2,32,16.314048614741242,48.54397978741941,27.79705882352941,48.299369747899156
2,33,16.29363244176014,48.19152717860225,27.873529411764707,48.31575630252101
2,34,16.4896435538216,48.63501950700479,27.95,48.33214285714286
2,35,17.2437532785452,49.071419828641375,28.026470588235295,48.3485294117647
2,36,17.672401120056,49.01533514175709,28.102941176470587,48.364915966386555
2,37,18.32359971459151,49.60835711737424,28.179411764705883,48.38130252100841
2,38,18.672701793721973,49.390358744394625,28.255882352941175,48.397689075630254
2,39,19.295717454359327,49.13022948302338,28.33235294117647,48.41407563025211
2,40,19.105478445460484,49.004523187459185,28.408823529411762,48.430462184873946
2,41,18.89049307810631,49.25991283541275,28.485294117647058,48.4468487394958
2,42,19.028648718836568,49.4461391966759,28.56176470588235,48.46323529411765
2,43,19.438632318917957,49.696890016017086,28.63823529411765,48.479621848739505
2,44,19.7246511627907,49.71116279069768,28.714705882352945,48.496008403361344
2,45,19.93350172711572,50.219179620034545,28.791176470588237,48.5123949579832
2,46,20.036510664551383,50.179071919619254,28.867647058823533,48.52878151260504
2,47,19.546539522058822,49.45568014705882,28.944117647058825,48.545168067226896
2,48,19.39930415674785,49.369231825672955,29.02058823529412,48.561554621848735
2,49,19.582443429932514,49.11828602620088,29.097058823529412,48.57794117647059
2,50,19.29517985611511,48.82955485611511,29.173529411764708,48.59432773109244
2,51,18.798015804098647,47.90611757554707,29.25,48.610714285714295
2,52,18.418783990482666,46.982826308633584,29.326470588235296,48.627100840336134
2,53,18.6238735405361,46.489857753658946,29.402941176470588,48.64348739495799
2,54,18.417032040472176,45.996268971332206,29.479411764705883,48.65987394957983
2,55,18.47030201342282,45.9505033557047,29.555882352941175,48.676260504201686
2,56,18.230981833910036,45.591708477508654,29.63235294117647,48.692647058823525
2,57,18.854242081447964,45.89592760180996,29.708823529411763,48.70903361344538
2,58,19.273806389327717,46.39433473758118,29.78529411764706,48.72542016806723
2,59,19.283576863219782,46.705304340307805,29.86176470588235,48.741806722689084
2,60,20.331524390243903,47.68587979094077,29.93823529411765,48.75819327731092
2,61,20.89203199052133,47.4050567027759,30.014705882352946,48.774579831932776
2,62,20.629642058165548,47.72197986577181,30.091176470588238,48.79096638655462
2,63,20.410286343612338,47.48711013215859,30.167647058823533,48.807352941176475
2,64,20.72913240835903,47.2707990750257,30.244117647058825,48.823739495798314
2,65,20.723250564334087,46.980530474040634,30.32058823529412,48.84012605042017
2,66,20.717850553505535,47.24792435424355,30.397058823529413,48.85651260504202
2,67,20.20740489130435,47.21762058423913,30.47352941176471,48.87289915966387
2,68,20.76114189756507,46.92732577665827,30.55,48.88928571428571
2,69,20.63488591595535,46.60639773473408,30.626470588235296,48.905672268907566
2,70,20.196777088772844,46.619680156657964,30.70294117647059,48.92205882352941
2,71,20.08972512005299,45.94980129160457,30.779411764705884,48.938445378151265
2,72,20.302238556632144,46.11232041430004,30.855882352941176,48.954831932773104
2,73,20.41237464183381,46.21541905444126,30.93235294117647,48.97121848739496
2,74,20.159385617214046,46.07135711589279,31.008823529411764,48.98760504201681
2,75,20.244662509170947,45.730099046221575,31.085294117647063,49.00399159663866
2,76,20.61756398940865,45.36236981465137,31.16176470588235,49.0203781512605
2,77,21.065198118328205,45.87768681020445,31.23823529411765,49.036764705882355
2,78,21.457239087479792,45.86312196874439,31.31470588235294,49.0531512605042
2,79,21.833727290486422,46.87682164485251,31.39117647058824,49.069537815126054
2,80,22.191889473684213,48.046905263157896,31.46764705882353,49.08592436974789
2,81,22.11745812908497,47.92156862745098,31.544117647058826,49.102310924369746
2,82,22.426886886886887,48.111971971971975,31.620588235294118,49.1186974789916
2,83,21.998567246273954,47.395160574875796,31.697058823529414,49.13508403361345
2,84,21.818994436952124,47.22685013486177,31.773529411764706,49.1514705882353
2,85,21.863927056827823,47.207201017811705,31.85,49.167857142857144
2,86,22.143015484922575,47.84392013039935,31.926470588235293,49.18424369747899
2,87,22.473166581589243,47.48987153309511,32.002941176470586,49.200630252100844
2,88,22.491916099773245,47.57140211640212,32.07941176470588,49.2170168067227
2,89,22.142484740590028,47.19266700576467,32.15588235294118,49.233403361344536
2,90,21.83742530305617,46.455023903022024,32.23235294117647,49.24978991596639
2,91,22.05201305305984,46.11953297169011,32.30882352941176,49.26617647058824
2,92,22.2406416423295,46.2216328809483,32.385294117647064,49.28256302521009
2,93,22.68344888745566,46.585307158980974,32.46176470588235,49.298949579831934
2,94,22.9137734241908,47.04012350936968,32.53823529411765,49.31533613445378
2,95,22.92069664902998,48.00582451499118,32.614705882352936,49.33172268907563
2,96,23.49891304347826,48.5284008210487,32.69117647058824,49.348109243697486
2,97,23.67529920212766,48.418517287234046,32.767647058823535,49.364495798319325
2,98,23.4145755472504,48.24552411461114,32.84411764705882,49.38088235294118
2,99,23.510508083140877,48.54792147806005,32.92058823529412,49.39726890756303
2,100,23.772070596797672,48.27071961426492,32.997058823529414,49.41365546218488
