embryo,angle
DMSO_3,56.31
DMSO_3,145.62
DMSO_3,153.435
DMSO_3,90
DMSO_3,90
DMSO_3,258.69
DMSO_3,250.907
DMSO_3,274.865
DMSO_3,229.236
DMSO_3,257.471
DMSO_3,174.56
DMSO_3,169.695
DMSO_4,151.783
DMSO_4,153.435
DMSO_4,148.57
DMSO_4,190.886
DMSO_4,203.385
DMSO_4,204.905
DMSO_4,25.942
DMSO_4,213.275
DMSO_4,50.44
DMSO_4,59.036
DMSO_4,77.005
DMSO_4,102.995
DMSO_4,90
DMSO_4,101.768
DMSO_4,90
DMSO_4,162.646
DMSO_4,164.876
DMSO_4,184.236
DMSO_4,130.236
DMSO_4,90
DMSO_4,121.608
DMSO_4,126.87
DMSO_4,123.69
DMSO_4,243.435
DMSO_4,143.973
DMSO_4,304.992
DMSO_4,333.435
DMSO_4,246.038
DMSO_4,232.306
DMSO_4,229.399
DMSO_4,225
DMSO_4,178.755
DMSO_4,156.705
DMSO_4,197.879
DMSO_4,183.691
DMSO_4,240.255
DMSO_4,303.69
DMSO_4,78.232
DMSO_4,191.514
DMSO_4,152.447
DMSO_4,157.834
DMSO_4,178.091
DMSO_4,203.199
DMSO_4,190.784
DMSO_4,143.616
DMSO_4,129.806
DMSO_4,58.392
DMSO_4,17.65
DMSO_4,351.027
DMSO_4,196.39
DMSO_4,200.225
DMSO_4,222.614
DMSO_4,214.287
DMSO_4,244.29
DMSO_4,194.621
DMSO_4,161.565
DMSO_4,128.29
DMSO_4,180
DMSO_4,138.814
DMSO_4,83.991
DMSO_4,104.931
DMSO_4,1.685
DMSO_4,102.995
DMSO_4,111.251
DMSO_4,111.251
DMSO_4,146.31
DMSO_5,184.086
DMSO_5,232.253
DMSO_5,193.69
DMSO_5,140.194
DMSO_5,146.821
DMSO_5,208.142
DMSO_5,153.435
DMSO_5,98.427
DMSO_5,237.995
DMSO_5,262.405
DMSO_5,300.964
DMSO_5,165.964
DMSO_5,179.119
DMSO_5,97.125
DMSO_5,165.256
DMSO_5,144.583
DMSO_5,293.629
DMSO_5,300.651
DMSO_5,219.401
DMSO_5,159.444
DMSO_5,202.38
DMSO_5,206.075
DMSO_5,215.707
DMSO_5,164.982
DMSO_5,204.864
DMSO_5,176.878
DMSO_5,167.196
DMSO_5,102.529
DMSO_5,172.405
DMSO_5,253.56
DMSO_5,267.039
DMSO_5,308.766
DMSO_5,302.217
DMSO_5,83.089
DMSO_5,112.479
DMSO_5,166.608
DMSO_5,188.616
DMSO_5,59.036
DMSO_5,86.424
DMSO_5,95.711
DMSO_5,175.389
DMSO_5,177.709
DMSO_5,164.745
DMSO_5,154.885
DMSO_5,164.055
DMSO_5,232.431
DMSO_5,210.964
DMSO_5,225
DMSO_5,90
DMSO_5,104.036
DMSO_5,99.462
DMSO_5,138.814
DMSO_5,96.71
DMSO_5,53.13
DMSO_5,135
DMSO_5,173.66
